Nome_Companhia,CNPJ_Companhia,Categoria,Tipo,Assunto,Data_Referencia,Data_Entrega,Link_Download
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Procedimentos Pagamento,2023-01-06,2023-01-06,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1047614&numSequencia=572344&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Participação no Campo de Albacora Leste,2023-01-26,2023-01-26,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1052348&numSequencia=577078&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão de Aquisição de Participação em Albacora Leste,2023-01-26,2023-01-26,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1052570&numSequencia=577300&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de Produção do Poço MUP5,2023-03-01,2023-03-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1067138&numSequencia=591868&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de participação em Itaipu,2023-03-23,2023-03-23,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1076373&numSequencia=601103&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Certificação de Reserva 2023,2023-04-03,2023-04-03,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1082102&numSequencia=606831&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de Produção do Poço N5P2,2023-04-05,2023-04-05,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1083148&numSequencia=607877&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,ATUALIZAÇÃO SOBRE A REVITALIZAÇÃO DE FRADE,2023-05-08,2023-05-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1098821&numSequencia=623550&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Esclarecimento sobre notícia divulgada na mídia,2023-05-08,2023-05-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1098234&numSequencia=622963&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de Produção ODP5,2023-07-17,2023-07-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1123070&numSequencia=647799&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de produção do poço POL-Q,2023-09-20,2023-09-20,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1144892&numSequencia=669620&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,,2023-11-16,2023-11-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1163358&numSequencia=688084&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão de alienação de participação em Manati,2023-11-16,2023-11-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1163564&numSequencia=688290&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão de Alienação de Participação em Manati,2023-11-16,2023-11-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1163927&numSequencia=688653&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão de alienação de participação em Manati,2023-11-16,2023-11-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1163928&numSequencia=688654&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Distribuição de Dividendos Intermediários,2023-12-08,2023-12-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1171506&numSequencia=696232&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Debêntures,2024-02-09,2024-02-09,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1192551&numSequencia=717277&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital Mediante Capitalização de Reserva,2024-02-28,2024-02-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1200591&numSequencia=725317&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Liquidação da Emissão de Debêntures,2024-02-29,2024-02-29,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1201225&numSequencia=725951&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Certificação de Reservas 2024,2024-03-08,2024-03-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1205352&numSequencia=730078&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Programa de Recompra de Ações,2024-03-11,2024-03-11,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1206185&numSequencia=730911&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital Mediante Capitalização de Reserva,2024-03-22,2024-03-22,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1211194&numSequencia=735920&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Debêntures,2024-03-25,2024-03-25,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1211754&numSequencia=736480&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Decisão Arbitral,2024-04-11,2024-04-11,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1221170&numSequencia=745896&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Decisão Arbitral,2024-04-11,2024-04-11,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1221187&numSequencia=745913&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Liquidação da Emissão de Debêntures,2024-04-15,2024-04-15,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1222003&numSequencia=746729&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Fato Relevante - Negociação Para Aquisição Participação,2024-09-25,2024-09-25,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1285080&numSequencia=809806&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Participação no Campo de Peregrino,2024-09-27,2024-09-27,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1285758&numSequencia=810484&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão da Aquisição de Participação no Campo de Peregrino,2024-12-05,2024-12-05,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1311708&numSequencia=836434&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital Mediante Capitalização de Reserva,2024-12-30,2024-12-30,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1320598&numSequencia=845324&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital por Exercício de Opções de Compra de Ações,2025-01-02,2025-01-02,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1321008&numSequencia=845734&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,5ª Emissão Debêntures,2025-02-05,2025-02-05,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1330969&numSequencia=855695&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Esclarecimentos sobre notícia veiculada na mídia,2025-02-06,2025-02-06,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1331530&numSequencia=856256&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Licença de Perfuração de Wahoo,2025-02-28,2025-02-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1341592&numSequencia=866318&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital Mediante Capitalização de Reserva,2025-02-28,2025-02-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1341610&numSequencia=866336&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Liquidação da 5ª Emissão de Debêntures,2025-02-28,2025-02-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1341616&numSequencia=866342&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Certificação de Reservas 2025,2025-03-13,2025-03-13,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1346657&numSequencia=871383&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Anuência do Ibama para workover dos poços no Campo de Tubarão Martelo,2025-04-24,2025-04-24,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1365146&numSequencia=889872&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Participações no Campo de Peregrino,2025-05-01,2025-05-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1370712&numSequencia=895424&numVersao=3
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,6ª Emissão Debêntures,2025-06-23,2025-06-23,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1393122&numSequencia=917834&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aditamento 6ª Emissão Debêntures,2025-07-04,2025-07-04,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1398118&numSequencia=922830&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Liquidação da 6ª Emissão de Debêntures,2025-07-16,2025-07-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1401445&numSequencia=926157&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Licença Prévia - Wahoo,2025-07-18,2025-07-18,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1402130&numSequencia=926842&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Parada do Campo de Peregrino,2025-08-18,2025-08-18,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1414426&numSequencia=939138&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Licença de Instalação - Wahoo,2025-09-15,2025-09-15,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1423622&numSequencia=948334&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Notas Representativa de Divida e Oferta de Recompra,2025-10-01,2025-10-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1428150&numSequencia=952862&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Notas Representativa de Divida e Oferta de Recompra,2025-10-01,2025-10-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1428221&numSequencia=952933&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Notas Representativas de Dívida | Pricing,2025-10-06,2025-10-06,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1429976&numSequencia=954688&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Resultado da Oferta de Recompra de Notas Representativas de Dívida,2025-10-08,2025-10-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1430550&numSequencia=955262&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Retomada de Produção do Campo de Peregrino,2025-10-17,2025-10-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1433538&numSequencia=958250&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aumento de Capital Mediante Capitalização de Reserva,2025-10-28,2025-10-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1436710&numSequencia=961422&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Conclusão da Aquisição de 40% e Operação do Campo de Peregrino,2025-11-11,2025-11-11,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1443557&numSequencia=968269&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Cancelamento de Ações em Tesouraria,2025-12-17,2025-12-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1458847&numSequencia=983559&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Programa de Recompra de Ações,2025-12-17,2025-12-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1458848&numSequencia=983560&numVersao=1
PRIO S.A.,10.629.105/0001-68,Política de Divulgação de Ato ou Fato Relevante,,,2025-12-17,2025-12-18,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1458999&numSequencia=983711&numVersao=1
